0  1:0.0681376929132496  2:0.12722737546422164  3:0.0034300731426692836  4:0.08490445024889642  5:0.041305624047646684  6:-0.15670912479827867  7:0.2511799978221565  8:-0.04655185442402851  9:-0.05313117707056161  10:-0.09296719926583388  11:0.08652347763689304  12:-0.146463037920099  13:0.1388426429382583  14:0.030274975324621943
0  1:-0.3091343475206756  2:0.0008098308722923778  3:0.7224386537913655  4:-0.5211510821264208  5:0.21493007305565226  6:-0.022608962046500487  7:-0.36983050014381996  8:0.1695406900584795  9:-0.09309748348348353  10:0.0434441111111111  11:-0.09178550793650796  12:0.19677885620915037  13:0.11647322222222226  14:-0.1541201909722222
0  1:0.14022987904425757  2:0.44490460394121933  3:-0.13484501692965156  4:-0.19354626009204476  5:-0.12269657034845499  6:-0.31938251790090266  7:-0.001195851598454964  8:0.2716039533720891  9:-0.356283408319562  10:-0.2386018470852509  11:0.1008763293697756  12:0.23456291213211117  13:0.022087422987269106  14:-0.16800463438938193
0  1:0.05193632544378693  2:-0.013944739005277467  3:0.0918622998027613  4:0.16183190126796282  5:-0.1679549754611905  6:-0.07680117339071187  7:-0.08747489811390531  8:0.256253854406727  9:-0.08827834271549657  10:-0.22947792044707427  11:-0.02038367624683009  12:0.10865803480682217  13:-0.06546401757217145  14:-0.05607690014792901
0  1:0.17521496338973663  2:-0.18878999689038145  3:0.06037915970852514  4:-0.24964080001878455  5:-0.23083470835750478  6:0.10163941372302913  7:-0.04943323781640367  8:0.020340068358766686  9:-0.30119449160403006  10:0.31797121860618005  11:-0.15073312730346577  12:-0.28975561573268355  13:0.0811015725300342  14:-0.03071128994082841
0  1:0.21163702048513788  2:0.027139001883540362  3:-0.15057273570019725  4:-0.14545826561472722  5:0.03290660391770119  6:-0.03827196957743113  7:0.14119822476988825  8:0.06766636219246344  9:-0.036998391172237306  10:-0.05898423767258384  11:-0.18464184243448858  12:0.30856829324747653  13:-0.15335409897794514  14:-0.20549672725591722
0  1:-0.04162462552337454  2:0.07158877543223698  3:-0.05839458481262329  4:0.0850602680567296  5:-0.16429858456124066  6:-0.11949818038371887  7:-0.20152153299638395  8:-0.2581407617564622  9:0.03825494674556218  10:-0.07410950624589085  11:0.1352600280642434  12:-0.23759354646710762  13:-0.06891226770665232  14:-0.028539726331360937
0  1:0.05581186139658809  2:0.180098304351689  3:0.2292600618014464  4:-0.020509367502582927  5:-0.29194988012917217  6:0.244704878429263  7:-0.042895829224194625  8:0.017863587200249217  9:-0.18953709947225336  10:-0.06040229865220251  11:-0.0847002894336433  12:-0.03594447424295159  13:-0.11387340451855835  14:0.010091780140532549
0  1:0.2733618421052631  2:0.08353132432432432  3:0.006767944444444441  4:-0.05861194285714286  5:0.08875679411764703  6:0.05248760606060608  7:-0.0185475  8:0.19639889503096994  9:-0.01901970417755033  10:0.05638715691431078  11:0.12302741006856391  12:0.24568943377035232  13:0.09811074095989476  14:0.06514590068211701
0  1:-0.08554310097235192  2:-0.04656540629386786  3:-0.35225838812184956  4:-0.381178581365643  5:0.19367140180608744  6:-0.08336387478333632  7:0.15931015425706774  8:0.3942809024533721  9:-0.19190063418448033  10:-0.024273206333552455  11:-0.03760638773363387  12:-0.015514300015469672  13:0.03692918462733848  14:0.07473999443211701
0  1:0.05559608027959442  2:0.07260196739342896  3:0.04534697786543941  4:0.09674528856955007  5:0.06879399613257532  6:-0.15492811433865275  7:0.07087158078566733  8:-0.3091816432748538  9:-0.09481337537537536  10:-0.03226630555555557  11:0.16533816825396822  12:0.23683222875816992  13:-0.40177853535353525  14:0.11435024652777777
0  1:0.19476935565244463  2:0.4113050881177035  3:-0.05618200197238659  4:0.2200275027895182  5:-0.06365294239470938  6:-0.14484538425676896  7:-0.0801130460428994  8:0.002410119156372237  9:0.019362519181903865  10:-0.08225928720140258  11:0.16400381711280174  12:0.03844037703523225  13:0.07265917368955828  14:-0.14158885807034852
0  1:-0.0886071856119589  2:0.027314579241963843  3:-0.022722331360946754  4:-0.09972691817413355  5:-0.13742924312565266  6:0.02977268262506726  7:-0.07990019674556215  8:0.34246241537769473  9:0.1517076168950015  10:0.03289147490685956  11:-0.2011777154879309  12:-0.2631027368410875  13:-0.1314576328372482  14:-0.19790196704470747
0  1:0.31065693209107587  2:-0.03192865923912077  3:0.41570564891518724  4:0.17665370947684797  5:-0.4049371396720424  6:-0.19477393927440076  7:-0.19511463500575277  8:0.524637643032631  9:-0.20409537633491484  10:0.0615941886916502  11:-0.021776087254625702  12:-0.1030351773214217  13:-0.40987424642878495  14:-0.22173354902202497
0  1:0.2732360632201806  2:0.3235739448264834  3:-0.0497347549309665  4:-0.11582816939983093  5:0.07850097998607727  6:0.4633820195445581  7:0.20015187647928995  8:0.33527316988477124  9:-0.04833928098512719  10:-0.1013372761341223  11:0.03231443448858833  12:-0.030723000870170554  13:-0.07674528312712933  14:-0.2015634772559172
0  1:0.2959198299422125  2:0.32852177681823835  3:0.09005000136971292  4:-0.6493032857894245  5:-0.1228310460997022  6:-0.32231970485924333  7:0.10011146860618021  8:0.5057080054500158  9:-0.14361118423156888  10:-0.44200581180144655  11:-0.17448711259509725  12:0.01146150104420467  13:0.24169597937959497  14:0.41806387463017763
0  1:-0.6028571705076301  2:0.4527408680633295  3:-0.10389189250493097  4:0.10724531665257815  5:-1.0192090931082494  6:0.7910986517841134  7:-0.40434589330621296  8:0.422063841828437  9:-0.3586483796399951  10:-0.3760956483125137  11:-0.21447726786888333  12:-0.02131171497080093  13:0.19615143320781778  14:-0.05091011207675869
0  1:0.18352680674071772  2:-0.013131207775823186  3:0.22049538730002188  4:-0.25100169863811406  5:-0.48493315765556716  6:-0.16667590401051935  7:0.3263871900065747  8:0.1750941098134883  9:-0.33603662890701347  10:0.0029261967455621995  11:0.24826663807645352  12:-0.10254962992613219  13:-0.1326887478931326  14:0.6017413471194938
