1  1:-0.0823846660611094  2:0.008008738596584766  3:-0.2733812580539119  4:-0.15515413436648826  5:-0.20752643251343936  6:0.1771704760026299  7:-0.14857659468344087  8:0.04622511489151874  9:-0.015648167220813365  10:-0.1398495119310052
1  1:-0.16180949622824323  2:0.0011325053218899123  3:0.13334296066184526  4:-0.12830217775899316  5:0.17468607688440274  6:0.023891694574206694  7:-0.00460420463066617  8:0.20908565318869166  9:-0.37938566414952574  10:0.27342024494334227
1  1:0.04622864017786076  2:0.1928700710236865  3:-0.024687747698882285  4:-0.15887098756457219  5:-0.009169971555091487  6:0.16231930549499982  7:-0.680984630293015  8:-0.28663714299802756  9:0.11453803294824834  10:0.2747712509185134
1  1:0.004591175369389897  2:-0.11088887609502997  3:0.316107506903353  4:0.037579885413731556  5:-0.1287309332675871  6:-0.13391963907055607  7:-0.483449273184427  8:0.17275182670392286  9:-0.004851400300554162  10:-0.03155100868236837
1  1:-0.07819484591162325  2:0.08090415295769145  3:0.04473554848783695  4:-0.12203743924110078  5:-0.06805561780175588  6:0.1838033830409358  7:0.03790590390390391  8:0.1900359074074074  9:0.05421235873015867  10:0.35770943464052296
1  1:0.13503704384234752  2:0.32326635893882055  3:-0.18404357982686828  4:0.03078203728749882  5:-0.00939596917662529  6:-0.05916045184954494  7:-0.04097682486628636  8:0.2029698348126233  9:0.10169321057574905  10:-0.28732576486057937
1  1:0.16984630700024225  2:-0.10454414972368817  3:-0.09837606130834976  4:-0.21574260520334357  5:0.11878573142669296  6:0.00500096473926436  7:0.05984452771114308  8:-0.15599289228577698  9:-0.23959894507372964  10:-0.11253115104227096
1  1:-0.19688214104294274  2:-0.2620495419620804  3:-0.03413024720578563  4:0.044747345712407134  5:0.3599410059364968  6:0.2045782055261428  7:0.058890404143788676  8:-0.061094784352399754  9:-0.3779231821545975  10:-0.20382262221061986
1  1:0.5175267210457108  2:-0.12173982246743793  3:-0.5406193769449924  4:-0.36438720852822387  5:-0.26818612598135916  6:0.632280710526316  7:0.18734229729729732  8:-0.29412177777777776  9:-0.39761154285714284  10:-0.158658588235294
1  1:0.1431787881068549  2:-0.03511705062458905  3:-0.19341816173570017  4:-0.12907609824363664  5:-0.06353571050392548  6:0.09729021441918406  7:0.005444991364145177  8:-0.30879887869822487  9:0.03318991141166526  10:-0.23522129951270448
1  1:0.2946471927748365  2:0.05629881592835439  3:-0.05670326561472713  4:-0.11694476500422653  5:-0.12673623042116253  6:0.19556165789473687  7:-0.22792189189189188  8:-0.22833136111111108  9:-0.17377268571428567  10:-0.04123764705882356
