1  1:-0.0823846660611094  2:0.008008738596584766  3:-0.2733812580539119  4:-0.15515413436648826  5:-0.20752643251343936  6:-0.2630287230888769  7:-0.05018006547912557  8:0.1771704760026299  9:-0.14857659468344087  10:0.04622511489151874  11:-0.015648167220813365  12:-0.1398495119310052  13:0.08603610925826309  14:0.021675254848783687
1  1:-0.16180949622824323  2:0.0011325053218899123  3:0.13334296066184526  4:-0.12830217775899316  5:0.17468607688440274  6:-0.09113711457772997  7:-0.30331322185239984  8:0.023891694574206694  9:-0.00460420463066617  10:0.20908565318869166  11:-0.37938566414952574  12:0.27342024494334227  13:0.15441871340625185  14:-0.15474300920447068
1  1:0.04622864017786076  2:0.1928700710236865  3:-0.024687747698882285  4:-0.15887098756457219  5:-0.009169971555091487  6:0.04323086982248515  7:-0.06218556473948063  8:0.16231930549499982  9:-0.680984630293015  10:-0.28663714299802756  11:0.11453803294824834  12:0.2747712509185134  13:0.025873677126292547  14:-0.1610977330087113
1  1:0.004591175369389897  2:-0.11088887609502997  3:0.316107506903353  4:0.037579885413731556  5:-0.1287309332675871  6:-0.02445359099874484  7:-0.3201809204470744  8:-0.13391963907055607  9:-0.483449273184427  10:0.17275182670392286  11:-0.004851400300554162  12:-0.03155100868236837  13:0.2625959404697867  14:-0.12926275057527944
1  1:-0.07819484591162325  2:0.08090415295769145  3:0.04473554848783695  4:-0.12203743924110078  5:-0.06805561780175588  6:-0.2768935538820154  7:0.058458957141683074  8:0.1838033830409358  9:0.03790590390390391  10:0.1900359074074074  11:0.05421235873015867  12:0.35770943464052296  13:0.018285808080808125  14:-0.18637452430555557
1  1:0.13503704384234752  2:0.32326635893882055  3:-0.18404357982686828  4:0.03078203728749882  5:-0.00939596917662529  6:0.0458309975494591  7:0.148647075977975  8:-0.05916045184954494  9:-0.04097682486628636  10:0.2029698348126233  11:0.10169321057574905  12:-0.28732576486057937  13:-0.07651595170641325  14:0.1375287047378369
1  1:0.16984630700024225  2:-0.10454414972368817  3:-0.09837606130834976  4:-0.21574260520334357  5:0.11878573142669296  6:-0.14765860695714542  7:-0.1056218438938199  8:0.00500096473926436  9:0.05984452771114308  10:-0.15599289228577698  11:-0.23959894507372964  12:-0.11253115104227096  13:0.042759982487597874  14:0.12980288237590407
1  1:-0.19688214104294274  2:-0.2620495419620804  3:-0.03413024720578563  4:0.044747345712407134  5:0.3599410059364968  6:-0.3981503831809219  7:0.09479675786900069  8:0.2045782055261428  9:0.058890404143788676  10:-0.061094784352399754  11:-0.3779231821545975  12:-0.20382262221061986  13:-0.3637650065746218  14:-0.2087707034229126
1  1:0.5175267210457108  2:-0.12173982246743793  3:-0.5406193769449924  4:-0.36438720852822387  5:-0.26818612598135916  6:-0.4134862505528662  7:-0.11716901432034856  8:0.632280710526316  9:0.18734229729729732  10:-0.29412177777777776  11:-0.39761154285714284  12:-0.158658588235294  13:-0.0401761515151515  14:0.02077603125
1  1:0.1431787881068549  2:-0.03511705062458905  3:-0.19341816173570017  4:-0.12907609824363664  5:-0.06353571050392548  6:-0.0018081275476660357  7:0.01835484841387243  8:0.09729021441918406  9:0.005444991364145177  10:-0.30879887869822487  11:0.03318991141166526  12:-0.23522129951270448  13:-0.1021368215886678  14:-0.1575867536982248
1  1:0.2946471927748365  2:0.05629881592835439  3:-0.05670326561472713  4:-0.11694476500422653  5:-0.12673623042116253  6:-0.005075696073157613  7:0.030242352440828416  8:0.19556165789473687  9:-0.22792189189189188  10:-0.22833136111111108  11:-0.17377268571428567  12:-0.04123764705882356  13:0.1776521212121212  14:0.17345006250000009
1  1:-0.11697117882971737  2:0.034024606340067896  3:0.031961972879684386  4:-0.0903779766319151  5:-0.00606978968944578  6:0.3371566906341522  7:-0.27994340799638395  8:0.5189998427281223  9:-0.062028807452422834  10:0.10716292504930967  11:-0.013566986306001701  12:-0.1564582386007658  13:-0.09398827308588847  14:-0.12450221838017754
