0  1:0.0681376929132496  2:0.12722737546422164  3:0.0034300731426692836  4:0.08490445024889642  5:0.041305624047646684  6:-0.04655185442402851  7:-0.05313117707056161  8:-0.09296719926583388  9:0.08652347763689304  10:-0.146463037920099
0  1:-0.3091343475206756  2:0.0008098308722923778  3:0.7224386537913655  4:-0.5211510821264208  5:0.21493007305565226  6:0.1695406900584795  7:-0.09309748348348353  8:0.0434441111111111  9:-0.09178550793650796  10:0.19677885620915037
0  1:0.14022987904425757  2:0.44490460394121933  3:-0.13484501692965156  4:-0.19354626009204476  5:-0.12269657034845499  6:0.2716039533720891  7:-0.356283408319562  8:-0.2386018470852509  9:0.1008763293697756  10:0.23456291213211117
0  1:0.05193632544378693  2:-0.013944739005277467  3:0.0918622998027613  4:0.16183190126796282  5:-0.1679549754611905  6:0.256253854406727  7:-0.08827834271549657  8:-0.22947792044707427  9:-0.02038367624683009  10:0.10865803480682217
0  1:0.17521496338973663  2:-0.18878999689038145  3:0.06037915970852514  4:-0.24964080001878455  5:-0.23083470835750478  6:0.020340068358766686  7:-0.30119449160403006  8:0.31797121860618005  9:-0.15073312730346577  10:-0.28975561573268355
0  1:0.21163702048513788  2:0.027139001883540362  3:-0.15057273570019725  4:-0.14545826561472722  5:0.03290660391770119  6:0.06766636219246344  7:-0.036998391172237306  8:-0.05898423767258384  9:-0.18464184243448858  10:0.30856829324747653
0  1:-0.04162462552337454  2:0.07158877543223698  3:-0.05839458481262329  4:0.0850602680567296  5:-0.16429858456124066  6:-0.2581407617564622  7:0.03825494674556218  8:-0.07410950624589085  9:0.1352600280642434  10:-0.23759354646710762
0  1:0.05581186139658809  2:0.180098304351689  3:0.2292600618014464  4:-0.020509367502582927  5:-0.29194988012917217  6:0.017863587200249217  7:-0.18953709947225336  8:-0.06040229865220251  9:-0.0847002894336433  10:-0.03594447424295159
0  1:0.2733618421052631  2:0.08353132432432432  3:0.006767944444444441  4:-0.05861194285714286  5:0.08875679411764703  6:0.19639889503096994  7:-0.01901970417755033  8:0.05638715691431078  9:0.12302741006856391  10:0.24568943377035232
0  1:-0.08554310097235192  2:-0.04656540629386786  3:-0.35225838812184956  4:-0.381178581365643  5:0.19367140180608744  6:0.3942809024533721  7:-0.19190063418448033  8:-0.024273206333552455  9:-0.03760638773363387  10:-0.015514300015469672
0  1:0.05559608027959442  2:0.07260196739342896  3:0.04534697786543941  4:0.09674528856955007  5:0.06879399613257532  6:-0.3091816432748538  7:-0.09481337537537536  8:-0.03226630555555557  9:0.16533816825396822  10:0.23683222875816992
0  1:0.19476935565244463  2:0.4113050881177035  3:-0.05618200197238659  4:0.2200275027895182  5:-0.06365294239470938  6:0.002410119156372237  7:0.019362519181903865  8:-0.08225928720140258  9:0.16400381711280174  10:0.03844037703523225
0  1:-0.0886071856119589  2:0.027314579241963843  3:-0.022722331360946754  4:-0.09972691817413355  5:-0.13742924312565266  6:0.34246241537769473  7:0.1517076168950015  8:0.03289147490685956  9:-0.2011777154879309  10:-0.2631027368410875
0  1:0.31065693209107587  2:-0.03192865923912077  3:0.41570564891518724  4:0.17665370947684797  5:-0.4049371396720424  6:0.524637643032631  7:-0.20409537633491484  8:0.0615941886916502  9:-0.021776087254625702  10:-0.1030351773214217
0  1:0.2732360632201806  2:0.3235739448264834  3:-0.0497347549309665  4:-0.11582816939983093  5:0.07850097998607727  6:0.33527316988477124  7:-0.04833928098512719  8:-0.1013372761341223  9:0.03231443448858833  10:-0.030723000870170554
0  1:0.2959198299422125  2:0.32852177681823835  3:0.09005000136971292  4:-0.6493032857894245  5:-0.1228310460997022  6:0.5057080054500158  7:-0.14361118423156888  8:-0.44200581180144655  9:-0.17448711259509725  10:0.01146150104420467
0  1:-0.6028571705076301  2:0.4527408680633295  3:-0.10389189250493097  4:0.10724531665257815  5:-1.0192090931082494  6:0.422063841828437  7:-0.3586483796399951  8:-0.3760956483125137  9:-0.21447726786888333  10:-0.02131171497080093
0  1:0.18352680674071772  2:-0.013131207775823186  3:0.22049538730002188  4:-0.25100169863811406  5:-0.48493315765556716  6:0.1750941098134883  7:-0.33603662890701347  8:0.0029261967455621995  9:0.24826663807645352  10:-0.10254962992613219
0  1:0.13074719254991526  2:0.11548620354674208  3:-0.12381285037256193  4:-0.10379666781252939  5:-0.08698921131608461  6:0.32187064107754604  7:0.03995999040460585  8:-0.09039993359631822  9:-0.2153841499577346  10:-0.19987373198746952
0  1:0.08998959268486796  2:0.03623334491888335  3:-0.18222509325005476  4:-0.21496333374659526  5:-0.1932563802451947  6:0.04426082553029516  7:-0.3532010693889155  8:-0.023269834538680676  9:-0.043614450004696104  10:-0.023836962911397305
0  1:-0.007051602616007536  2:0.1616564357908204  3:-0.059939495890861255  4:-0.05921772916314451  5:-0.31990203271841283  6:0.34197716241046394  7:0.019877703662242164  8:0.287595892504931  9:0.3632925580726966  10:-0.0838788344935607
0  1:-0.19784653920550885  2:-0.11751152890168275  3:0.1426405588976551  4:0.04903173376537993  5:-0.4513774046099703  6:0.32660100060555736  7:-0.2241508199619738  8:-0.14171602158667546  9:0.12022562241006847  10:0.42364627261476573
0  1:0.5335385807986436  2:-0.026833160438545115  3:-0.344466820348455  4:-0.23015871283929756  5:-0.051414752852225826  6:0.5830763154088376  7:0.1866952521634061  8:0.11411023597413987  9:-0.018443965755611833  10:-0.24057548855242292
