0  1:-0.3218637134775641  2:-0.15208198424342104  3:-0.056165660861486465  4:-0.015524168124999984  5:0.12616758348214285  6:-0.2682855272435897  7:-0.2645102927631579  8:0.06069326520270269  9:0.0664317430555556  10:0.03355113392857144  11:-0.10195614822115384  12:0.020144568782894758  13:0.10277386508445947  14:-0.0502388485416667  15:0.041793207767857096  16:-0.21862822245192307  17:-0.21668735924342103  18:0.11985470535472971  19:0.04709856729166669  20:-0.1484302122321428  21:-0.2281490792307693  22:-0.0489105442105263  23:0.0788597575675676  24:-0.06604211277777777  25:0.11625023857142858  26:-0.2192536382051282  27:-0.35516013894736836  28:0.20249010621621621  29:-0.02041293499999999  30:0.06062463285714289
0  1:-0.6032514779647437  2:0.2773822393092105  3:-0.11462152829391903  4:0.07850302256944446  5:-0.10387277723214289  6:-0.6119589743589743  7:0.29796578947368424  8:-0.1381108108108108  9:0.07852777777777775  10:-0.09641714285714288  11:0.0719393742948718  12:0.130361624868421  13:-0.13168773668918918  14:0.2336219455555556  15:0.02409975535714288  16:-0.4379321602564102  17:0.13317663157894744  18:-0.025470547297297322  19:0.03688493055555554  20:-0.1302043642857143  21:-0.3272477851923078  22:0.2546123067105263  23:-0.15877343695945947  24:0.15494464055555557  25:-0.01826416035714284  26:-0.6823872092307691  27:0.27026165473684216  28:-0.1056145697297297  29:0.07539216000000004  30:-0.18665450285714294
0  1:-0.639655526298077  2:0.2513546440460526  3:-0.19017806018581082  4:0.0946425853472222  5:0.015960857053571403  6:-0.6512242051282051  7:0.29428768421052626  8:-0.19046464864864865  9:0.07294399999999998  10:0.020185714285714286  11:0.019702978141025625  12:-0.06892079486842106  13:-0.1240371339864865  14:0.24523056361111106  15:0.11288584107142853  16:-0.6173654166666666  17:0.3199690263157895  18:-0.36723792567567576  19:0.030659458333333348  20:0.3081404642857144  21:-0.37822829527243595  22:0.015810074835526353  23:-0.22704070396959464  24:0.3250699184027779  25:-0.005508209374999948  26:-0.5399747330769232  27:0.26291306105263157  28:-0.3009599072972973  29:0.2714291261111111  30:0.08046615857142854
0  1:-0.29035296794871784  2:-0.07998246052631582  3:-0.025009682432432425  4:0.0075560972222222305  5:0.06244127857142858  6:-0.299619501602564  7:-0.005669766447368434  8:-0.09134491047297294  9:0.03487639583333335  10:0.13153027678571427  11:0.018325659599358984  12:0.04486729075657891  13:-0.1513976426182432  14:-0.061091298680555545  15:-0.03310491151785712  16:-0.24521100681089736  17:0.09174408799342106  18:-0.041601937077702704  19:-0.01690675520833333  20:0.06702545848214285  21:-0.13678123237179485  22:0.03199885197368419  23:-0.17285686993243243  24:-0.027729250000000007  25:0.058556555357142846  26:-0.23196176360576923  27:-0.010878073322368405  28:-0.054573269375  29:-0.2136312763194444  30:0.25241446419642855
0  1:-0.32278308975961534  2:-0.11387112042763162  3:-0.02860335005067573  4:-0.047821443125  5:0.0595290599107143  6:-0.24445623237179484  7:-0.17409845065789467  8:0.07596515709459457  9:-0.08884631249999998  10:0.0375210625  11:-0.4763694830769231  12:0.22305079263157884  13:-0.04354398702702706  14:-0.17334090444444447  15:-0.11607966285714288  16:-0.40681566091346144  17:-0.4362005210855263  18:0.14240019454391897  19:0.011826743680555616  20:0.051307101339285656  21:-0.30427242846153846  22:-0.001932871578947381  23:0.02204667756756761  24:-0.014596251111111081  25:-0.2032489957142857  26:-0.33441647570512817  27:-0.19451409355263155  28:0.027089368716216228  29:-0.1452012586111111  30:0.010691143928571423
0  1:-0.225246801298077  2:-0.0698610822697368  3:-0.010603452077702708  4:-0.03529783270833334  5:-0.18262934080357143  6:-0.1460205528846153  7:-0.08740337171052626  8:-0.017720059121621612  9:-0.01268524305555556  10:-0.13228558035714283  11:0.11171175794871796  12:-0.20449933894736838  13:-0.2589040951351352  14:-0.001124876666666694  15:0.24217134285714284  16:-0.26766083988782047  17:-0.14000725490131583  18:0.17839459684121625  19:-0.1822689346527778  20:-0.14682156794642856  21:-0.163977006426282  22:-0.17908417240131572  23:-0.06777830072635131  24:-0.03619440145833335  25:0.1161258656250001  26:-0.1993713566666666  27:-0.11660708999999993  28:-0.04996177918918918  29:-0.016976406666666662  30:-0.009932687142857114
0  1:-0.4969699877564101  2:-0.019817089342105226  3:0.14760040628378385  4:-0.25148508583333334  5:0.20866049392857147  6:-0.5291148782051279  7:-0.0189018552631579  8:0.19749484459459457  9:-0.3727516944444445  10:0.3627991071428571  11:-0.23728910775641027  12:0.008958763026315764  13:0.013602156554054015  14:0.046726219166666666  15:0.010728178214285714  16:-0.29590272108974364  17:-0.17192914592105252  18:0.18829344006756754  19:-0.03806490944444448  20:0.17548456535714285  21:-0.2901219461698719  22:-0.13007210134868416  23:0.2566765749493243  24:-0.09182008062499993  25:0.001689492053571457  26:-0.31020979950320515  27:-0.2874157318750001  28:0.34975451643581085  29:-0.1505834999305555  30:-0.007499375803571429
0  1:-0.4938896670673076  2:-0.13379538898026316  3:0.21641948859797297  4:0.15750006076388887  5:-0.3304941415178571  6:-0.48899335897435886  7:-0.2058026842105263  8:0.27102018918918913  9:0.08207544444444442  10:-0.3422127142857142  11:-0.0297758884775641  12:0.15843909009868418  13:-0.21201938923986502  14:-0.0051978125694444105  15:-0.3288679000892859  16:-0.5501939887820508  17:0.0744581217105263  18:-0.005447815878378412  19:-0.02677841666666668  20:0.026164355357142868  21:-0.40701046232371796  22:0.09679917338815787  23:-0.09376162478040538  24:0.2232677577083335  25:-0.27258836366071426  26:-0.5028289427083337  27:0.10719250246710531  28:-0.14985332559121625  29:0.2063020677083333  30:-0.08705064866071431
0  1:-0.3663857492948718  2:-0.0792122209210526  3:0.07753039277027021  4:-0.011125305277777765  5:0.21196368392857146  6:-0.20472136057692308  7:-0.1557005559210526  8:-0.034217072635135154  9:0.1181500763888889  10:0.19339691964285713  11:-0.019665362323717978  12:-0.13842714832236838  13:0.06428211170608106  14:-0.0024681756249999814  15:0.16596721276785714  16:-0.09847403142628204  17:-0.04516575726973684  18:-0.008635959510135132  19:-0.005348815347222235  20:0.1677184263392857  21:-0.09514496360576925  22:-0.1254194937171053  23:0.08714209548986485  24:0.029077561875000033  25:0.07515732919642855  26:-0.32050445903846164  27:-0.02857105013157896  28:-0.010086154256756765  29:0.07014419694444446  30:0.16237872249999988
0  1:-0.3366808843589745  2:0.2564723899999999  3:-0.36842194243243254  4:0.2987106094444443  5:-0.33838811000000013  6:-0.1762564503205128  7:0.026355838815789477  8:-0.1609798564189189  9:0.15603767361111112  10:-0.24659558035714285  11:-0.06654589616987187  12:-0.2287772414802632  13:0.16858877292229724  14:-0.005248585486111105  15:-0.06273217366071428  16:-0.2734289869230768  17:0.11804718999999997  18:-0.17942592081081077  19:0.21530996777777778  20:-0.23900414428571426  21:-0.16914393230769226  22:-0.03288558210526317  23:-0.08169542918918916  24:0.07555491555555552  25:-0.16527473714285715  26:-0.15534422629807684  27:-0.06552914805921048  28:-0.1296366331587838  29:0.03267739993055556  30:-0.1265540693749999
