1  1:-0.913648910657051  2:0.7356350024671052  3:-0.564423511402027  4:0.3783230815972224  5:-0.3342297058035715  6:0.22799991636029415  7:-0.8095783349358974  8:0.6630425624999999  9:-0.6018154104729729  10:0.4492391597222222  11:-0.39069008035714275  12:0.27692035661764713  13:0.0377217151282051  14:0.1918455942105263  15:-0.09731414945945946  16:0.12738701555555554  17:-0.22756453857142853  18:0.01221631294117646  19:-1.0956796044230763  20:0.7170513225  21:-0.5372627166891889  22:0.3423603780555555  23:-0.3467301717857143  24:0.3357846886764706  25:-0.41389620615384604  26:0.6022956821052632  27:-0.41603252216216224  28:0.3506892177777779  29:-0.38190324  30:0.09656053999999997  31:-0.8789375869230767  32:0.6614989031578948  33:-0.6552564208108107  34:0.575329365  35:-0.4019931985714285  36:0.2979868929411765
1  1:-0.477366312195513  2:-0.034603008585526326  3:0.2658660364358108  4:-0.28769625076388894  5:0.05336673133928571  6:0.2522770241544118  7:-0.43230576923076924  8:-0.0741355263157895  9:0.2744479729729729  10:-0.3401055555555555  11:0.12090642857142853  12:0.2656691176470587  13:-0.15893368743589745  14:0.02130978368421054  15:-0.05452477648648641  16:-0.06679843999999999  17:0.0292507842857143  18:0.17751736294117632  19:-0.2856428625641026  20:-0.27887288631578944  21:0.21904733729729728  22:-0.11051725444444443  23:-0.09128804000000001  24:0.12668424  25:-0.2832651289903846  26:0.020393530624999993  27:0.09393117859797304  28:-0.03809912006944444  29:-0.13924330080357145  30:0.40272775194852944  31:-0.37484212057692307  32:-0.1869420869736842  33:0.1906260606081081  34:-0.06462378777777769  35:-0.24642844464285707  36:0.39700878044117643
1  1:-0.23706252245192302  2:-0.021850323717105248  3:-0.051751768969594575  4:-0.17740007645833328  5:0.15970943848214286  6:0.02499681606617647  7:-0.18226382051282045  8:-0.020242315789473678  9:-0.04203289189189188  10:-0.10680655555555552  11:0.18701585714285718  12:-0.04814629411764703  13:-0.44924098692307685  14:0.07316779263157897  15:-0.4586503829729729  16:0.3265825872222222  17:-0.027579352857142855  18:0.19105980470588224  19:-0.21907055903846157  20:-0.13812255013157895  21:-0.09361264074324326  22:-0.056686260000000016  23:0.4269163067857144  24:-0.26854905485294117  25:-0.1937045732211538  26:-0.08355552661184212  27:-0.16370051329391888  28:-0.003101763819444464  29:0.17608087491071428  30:0.047907299742647104  31:-0.311060431426282  32:-0.04413375398026317  33:-0.12819274059121624  34:-0.03247372854166666  35:0.2243623363392858  36:0.009854528566176454
1  1:-0.22871057461538463  2:-0.3417105399999999  3:0.2555797856756757  4:-0.3232670372222223  5:0.13652294142857135  6:0.23344706294117643  7:-0.21297595512820514  8:-0.30183485526315773  9:0.15758360135135138  10:-0.15135483333333333  11:0.14129310714285703  12:0.0862526911764706  13:-0.31297251322115377  14:-0.031006701480263143  15:-0.11105786613175668  16:0.3159412829861111  17:-0.14859285937499997  18:0.010571453124999998  19:-0.30477734360576914  20:-0.18148537634868417  21:0.3064226310304054  22:-0.20365906395833333  23:0.016423316339285707  24:0.20638949547794117  25:-0.30757833743589746  26:-0.16578087157894736  27:0.15191550054054062  28:-0.04344671222222219  29:0.025857822857142877  30:0.12642348941176476  31:-0.3357007012980769  32:-0.32189985990131575  33:0.33009591886824313  34:-0.2110442445138888  35:0.09118166705357147  36:0.040310424154411696
1  1:-0.7005449807692309  2:0.2760841710526315  3:-0.12298442567567587  4:0.07696268055555544  5:-0.11851753571428575  6:0.19713701470588238  7:-0.6545820256410257  8:0.23010242105263154  9:-0.13802802702702718  10:0.035726777777777684  11:-0.09373614285714292  12:0.14628841176470578  13:0.22204359769230772  14:-0.06066134157894737  15:-0.17740322621621624  16:0.002167651111111143  17:0.26902063  18:0.2406349811764707  19:-0.4820531554487177  20:0.14843458881578947  21:-0.0016584239864864969  22:-0.195660875  23:-0.16287570178571426  24:0.24607055514705872  25:-0.2796110693750001  26:0.17748878523026312  27:-0.24387970113175683  28:0.1760043625694444  29:-0.057555706517857165  30:0.13877992621323526  31:-0.5518602515384615  32:0.3584585889473684  33:-0.2932145035135135  34:0.019130018333333346  35:-0.08363321  36:0.10777007470588232
1  1:-0.5848745538621797  2:0.15009383746710525  3:0.06530741008445948  4:-0.17948682368055555  5:0.13889769276785716  6:-0.06378442363970584  7:-0.5298496298076927  8:0.12770839144736842  9:0.017607454391891902  10:-0.12177200694444444  11:0.09364691964285715  12:-0.07843237867647057  13:-0.1583143283493589  14:-0.04322033121710525  15:0.1471893029222973  16:-0.26084005895833345  17:0.15095341633928566  18:-0.002804253933823504  19:-0.3295918092307694  20:0.01784543894736837  21:-0.05396529945945946  22:0.005420965555555564  23:0.03378552571428573  24:-0.060000657647058774  25:-0.295847026298077  26:0.10384742891447361  27:0.18167973981418928  28:-0.14127911812500005  29:0.05128693205357146  30:-0.010962538345588217  31:-0.5344944905288462  32:-0.0339071272697368  33:0.18424420494932434  34:-0.11192168812499993  35:-0.02512607651785712  36:0.02425213944852942
1  1:-0.5466676464102564  2:0.17787840736842106  3:-0.18133732513513512  4:0.034113815555555566  5:0.12933235  6:0.006957371764705823  7:-0.5830958349358973  8:0.22316190460526314  9:-0.31650088344594585  10:0.1636531875  11:-0.010251294642857175  12:0.2109132977941177  13:0.06558273455128207  14:-0.13504354618421055  15:-0.07140158668918917  16:0.022473620555555567  17:0.07500635107142857  18:-0.08757775485294116  19:-0.3070953016826922  20:0.10599717680921052  21:-0.11465039991554053  22:0.10559085937499997  23:0.03493296205357144  24:-0.029323370404411738  25:-0.1846979446153846  26:-0.2806946652631579  27:-0.038172138378378385  28:0.032540017777777784  29:0.13332080571428573  30:-0.1065660011764706  31:-0.34620859424679484  32:0.07101254733552635  33:-0.07698718653716217  34:-0.06370784243055548  35:0.14397693062500003  36:-0.2614580839338235
1  1:-0.5621349887179488  2:0.25314333368421055  3:-0.07753967783783788  4:-0.1820017288888889  5:0.23864694285714283  6:-0.18087100470588235  7:-0.5371823862179484  8:0.13848089144736841  9:0.018761643581081087  10:-0.21312874305555557  11:0.3761299196428571  12:-0.3181724522058823  13:-0.1536069628846153  14:0.033783835394736846  15:0.12136879979729734  16:-0.2894957975000001  17:-0.13816790607142854  18:0.20161487455882354  19:-0.1960163337339743  20:-0.007454540296052628  21:-0.1594577951858108  22:0.08754898784722218  23:0.10171149419642853  24:-0.07387014981617646  25:-0.13021246732371788  26:0.15375333351973686  27:-0.013523004104729718  28:-0.32831565284722225  29:0.05792471348214284  30:-0.14777802805147058  31:-0.36804190001602555  32:0.10899226444078944  33:-0.07524093586148647  34:0.024525692291666682  35:0.007131779196428577  36:-0.08494144055147061
1  1:-0.25443893142628193  2:-0.04766082371710524  3:-0.22210527572635133  4:0.09713549020833331  5:0.009728448482142858  6:0.057819923419117666  7:-0.26012378365384614  8:-0.0970011875  9:-0.059311356418918916  10:0.022829854166666674  11:-0.017555008928571442  12:0.09898969485294117  13:0.34664714993589735  14:0.43547011828947385  15:-0.20296163533783787  16:-0.2454029127777777  17:-0.09665136749999993  18:-0.08237711661764709  19:-0.5916838903205127  20:0.16772280013157892  21:0.03779389277027023  22:-0.09395574555555557  23:-0.022921793214285696  24:-0.015933534852941206  25:-0.19021653339743583  26:0.1995672946052631  27:-0.33315849074324316  28:0.032079149722222235  29:0.17042551821428567  30:-0.07667535191176472  31:-0.378226326426282  32:0.006140257598684221  33:-0.00474916937499998  34:-0.04253629298611114  35:-0.05014265794642859  36:-0.08738616790441178
1  1:-0.4365367787820513  2:0.10791450934210527  3:-0.12741015047297297  4:0.23658931972222222  5:-0.22128657035714297  6:0.16513942544117646  7:-0.3195596554487177  8:0.041635444078947315  9:-0.12278627533783784  10:0.15177968749999995  11:-0.12059129464285714  12:0.03354788602941177  13:0.029711172499999973  14:-0.1474415893421052  15:0.048188637364864895  16:0.1465318294444444  17:0.056225956785714286  18:-0.16699409073529414  19:-0.1959637015384615  20:-0.05593515578947368  21:-0.11878440756756758  22:0.3161797155555556  23:-0.13466114857142855  24:-0.18666861647058824  25:-0.1569827077564103  26:0.07073208802631578  27:-0.008730328581081068  28:0.26672867611111095  29:-0.057073890357142845  30:-0.11980827985294118  31:-0.26580227514423077  32:-0.09253737858552626  33:-0.06226972613175678  34:0.27097083479166656  35:-0.14514212723214281  36:-0.09979523408088234
