1  1:-0.913648910657051  2:0.7356350024671052  3:-0.564423511402027  4:0.3783230815972224  5:-0.3342297058035715  6:0.22799991636029415  7:-0.10593432907196965  8:-0.8095783349358974  9:0.6630425624999999  10:-0.6018154104729729  11:0.4492391597222222  12:-0.39069008035714275  13:0.27692035661764713  14:-0.13042152840909083  15:0.0377217151282051  16:0.1918455942105263  17:-0.09731414945945946  18:0.12738701555555554  19:-0.22756453857142853  20:0.01221631294117646  21:-0.25773960515151517  22:-1.0956796044230763  23:0.7170513225  24:-0.5372627166891889  25:0.3423603780555555  26:-0.3467301717857143  27:0.3357846886764706  28:-0.4011338971969695  29:-0.41389620615384604  30:0.6022956821052632  31:-0.41603252216216224  32:0.3506892177777779  33:-0.38190324  34:0.09656053999999997  35:-0.2549838084848485  36:-0.8789375869230767  37:0.6614989031578948  38:-0.6552564208108107  39:0.575329365  40:-0.4019931985714285  41:0.2979868929411765  42:-0.28940756454545447
1  1:-0.477366312195513  2:-0.034603008585526326  3:0.2658660364358108  4:-0.28769625076388894  5:0.05336673133928571  6:0.2522770241544118  7:-0.3320180955871212  8:-0.43230576923076924  9:-0.0741355263157895  10:0.2744479729729729  11:-0.3401055555555555  12:0.12090642857142853  13:0.2656691176470587  14:-0.3524068181818182  15:-0.15893368743589745  16:0.02130978368421054  17:-0.05452477648648641  18:-0.06679843999999999  19:0.0292507842857143  20:0.17751736294117632  21:0.04673064636363636  22:-0.2856428625641026  23:-0.27887288631578944  24:0.21904733729729728  25:-0.11051725444444443  26:-0.09128804000000001  27:0.12668424  28:-0.07971031151515157  29:-0.2832651289903846  30:0.020393530624999993  31:0.09393117859797304  32:-0.03809912006944444  33:-0.13924330080357145  34:0.40272775194852944  35:-0.33779477316287876  36:-0.37484212057692307  37:-0.1869420869736842  38:0.1906260606081081  39:-0.06462378777777769  40:-0.24642844464285707  41:0.39700878044117643  42:-0.20815094901515147
1  1:-0.23706252245192302  2:-0.021850323717105248  3:-0.051751768969594575  4:-0.17740007645833328  5:0.15970943848214286  6:0.02499681606617647  7:-0.0025102524053030443  8:-0.18226382051282045  9:-0.020242315789473678  10:-0.04203289189189188  11:-0.10680655555555552  12:0.18701585714285718  13:-0.04814629411764703  14:-0.013566151515151522  15:-0.44924098692307685  16:0.07316779263157897  17:-0.4586503829729729  18:0.3265825872222222  19:-0.027579352857142855  20:0.19105980470588224  21:-0.5920544069696968  22:-0.21907055903846157  23:-0.13812255013157895  24:-0.09361264074324326  25:-0.056686260000000016  26:0.4269163067857144  27:-0.26854905485294117  28:-0.08576413234848489  29:-0.1937045732211538  30:-0.08355552661184212  31:-0.16370051329391888  32:-0.003101763819444464  33:0.17608087491071428  34:0.047907299742647104  35:-0.29809274816287873  36:-0.311060431426282  37:-0.04413375398026317  38:-0.12819274059121624  39:-0.03247372854166666  40:0.2243623363392858  41:0.009854528566176454  42:-0.059765510738636354
1  1:-0.22871057461538463  2:-0.3417105399999999  3:0.2555797856756757  4:-0.3232670372222223  5:0.13652294142857135  6:0.23344706294117643  7:-0.33140757787878794  8:-0.21297595512820514  9:-0.30183485526315773  10:0.15758360135135138  11:-0.15135483333333333  12:0.14129310714285703  13:0.0862526911764706  14:-0.2067465378787879  15:-0.31297251322115377  16:-0.031006701480263143  17:-0.11105786613175668  18:0.3159412829861111  19:-0.14859285937499997  20:0.010571453124999998  21:-0.00203368513257577  22:-0.30477734360576914  23:-0.18148537634868417  24:0.3064226310304054  25:-0.20365906395833333  26:0.016423316339285707  27:0.20638949547794117  28:0.11583163092803041  29:-0.30757833743589746  30:-0.16578087157894736  31:0.15191550054054062  32:-0.04344671222222219  33:0.025857822857142877  34:0.12642348941176476  35:-0.18743092484848484  36:-0.3357007012980769  37:-0.32189985990131575  38:0.33009591886824313  39:-0.2110442445138888  40:0.09118166705357147  41:0.040310424154411696  42:-0.10628430619318174
1  1:-0.7005449807692309  2:0.2760841710526315  3:-0.12298442567567587  4:0.07696268055555544  5:-0.11851753571428575  6:0.19713701470588238  7:-0.13572059848484863  8:-0.6545820256410257  9:0.23010242105263154  10:-0.13802802702702718  11:0.035726777777777684  12:-0.09373614285714292  13:0.14628841176470578  14:-0.1024040303030303  15:0.22204359769230772  16:-0.06066134157894737  17:-0.17740322621621624  18:0.002167651111111143  19:0.26902063  20:0.2406349811764707  21:-0.17771004030303028  22:-0.4820531554487177  23:0.14843458881578947  24:-0.0016584239864864969  25:-0.195660875  26:-0.16287570178571426  27:0.24607055514705872  28:-0.1812358238636363  29:-0.2796110693750001  30:0.17748878523026312  31:-0.24387970113175683  32:0.1760043625694444  33:-0.057555706517857165  34:0.13877992621323526  35:-0.03095465952651522  36:-0.5518602515384615  37:0.3584585889473684  38:-0.2932145035135135  39:0.019130018333333346  40:-0.08363321  41:0.10777007470588232  42:-0.026255074848484855
1  1:-0.5848745538621797  2:0.15009383746710525  3:0.06530741008445948  4:-0.17948682368055555  5:0.13889769276785716  6:-0.06378442363970584  7:-0.023917037253787837  8:-0.5298496298076927  9:0.12770839144736842  10:0.017607454391891902  11:-0.12177200694444444  12:0.09364691964285715  13:-0.07843237867647057  14:-0.07876269507575756  15:-0.1583143283493589  16:-0.04322033121710525  17:0.1471893029222973  18:-0.26084005895833345  19:0.15095341633928566  20:-0.002804253933823504  21:-0.04619569589015154  22:-0.3295918092307694  23:0.01784543894736837  24:-0.05396529945945946  25:0.005420965555555564  26:0.03378552571428573  27:-0.060000657647058774  28:-0.046217197575757575  29:-0.295847026298077  30:0.10384742891447361  31:0.18167973981418928  32:-0.14127911812500005  33:0.05128693205357146  34:-0.010962538345588217  35:0.07163045668560604  36:-0.5344944905288462  37:-0.0339071272697368  38:0.18424420494932434  39:-0.11192168812499993  40:-0.02512607651785712  41:0.02425213944852942  42:-0.07905044285984843
1  1:-0.5466676464102564  2:0.17787840736842106  3:-0.18133732513513512  4:0.034113815555555566  5:0.12933235  6:0.006957371764705823  7:-0.22804268696969687  8:-0.5830958349358973  9:0.22316190460526314  10:-0.31650088344594585  11:0.1636531875  12:-0.010251294642857175  13:0.2109132977941177  14:-0.24365933143939383  15:0.06558273455128207  16:-0.13504354618421055  17:-0.07140158668918917  18:0.022473620555555567  19:0.07500635107142857  20:-0.08757775485294116  21:0.03919269492424243  22:-0.3070953016826922  23:0.10599717680921052  24:-0.11465039991554053  25:0.10559085937499997  26:0.03493296205357144  27:-0.029323370404411738  28:0.007911390624999992  29:-0.1846979446153846  30:-0.2806946652631579  31:-0.038172138378378385  32:0.032540017777777784  33:0.13332080571428573  34:-0.1065660011764706  35:-0.16012522666666662  36:-0.34620859424679484  37:0.07101254733552635  38:-0.07698718653716217  39:-0.06370784243055548  40:0.14397693062500003  41:-0.2614580839338235  42:0.12376176123106064
1  1:-0.5621349887179488  2:0.25314333368421055  3:-0.07753967783783788  4:-0.1820017288888889  5:0.23864694285714283  6:-0.18087100470588235  7:-0.05193040363636361  8:-0.5371823862179484  9:0.13848089144736841  10:0.018761643581081087  11:-0.21312874305555557  12:0.3761299196428571  13:-0.3181724522058823  14:-0.07242284659090907  15:-0.1536069628846153  16:0.033783835394736846  17:0.12136879979729734  18:-0.2894957975000001  19:-0.13816790607142854  20:0.20161487455882354  21:-0.16605576568181815  22:-0.1960163337339743  23:-0.007454540296052628  24:-0.1594577951858108  25:0.08754898784722218  26:0.10171149419642853  27:-0.07387014981617646  28:-0.10503820028409092  29:-0.13021246732371788  30:0.15375333351973686  31:-0.013523004104729718  32:-0.32831565284722225  33:0.05792471348214284  34:-0.14777802805147058  35:0.00407926804924244  36:-0.36804190001602555  37:0.10899226444078944  38:-0.07524093586148647  39:0.024525692291666682  40:0.007131779196428577  41:-0.08494144055147061  42:-0.09221320164772727
1  1:-0.25443893142628193  2:-0.04766082371710524  3:-0.22210527572635133  4:0.09713549020833331  5:0.009728448482142858  6:0.057819923419117666  7:0.11925546804924242  8:-0.26012378365384614  9:-0.0970011875  10:-0.059311356418918916  11:0.022829854166666674  12:-0.017555008928571442  13:0.09898969485294117  14:-0.00465001325757575  15:0.34664714993589735  16:0.43547011828947385  17:-0.20296163533783787  18:-0.2454029127777777  19:-0.09665136749999993  20:-0.08237711661764709  21:0.3717100009848485  22:-0.5916838903205127  23:0.16772280013157892  24:0.03779389277027023  25:-0.09395574555555557  26:-0.022921793214285696  27:-0.015933534852941206  28:-0.16231512446969695  29:-0.19021653339743583  30:0.1995672946052631  31:-0.33315849074324316  32:0.032079149722222235  33:0.17042551821428567  34:-0.07667535191176472  35:0.3635159025  36:-0.378226326426282  37:0.006140257598684221  38:-0.00474916937499998  39:-0.04253629298611114  40:-0.05014265794642859  41:-0.08738616790441178  42:0.16713084274621212
1  1:-0.4365367787820513  2:0.10791450934210527  3:-0.12741015047297297  4:0.23658931972222222  5:-0.22128657035714297  6:0.16513942544117646  7:-0.237335771439394  8:-0.3195596554487177  9:0.041635444078947315  10:-0.12278627533783784  11:0.15177968749999995  12:-0.12059129464285714  13:0.03354788602941177  14:-0.09843025568181821  15:0.029711172499999973  16:-0.1474415893421052  17:0.048188637364864895  18:0.1465318294444444  19:0.056225956785714286  20:-0.16699409073529414  21:0.11117326340909094  22:-0.1959637015384615  23:-0.05593515578947368  24:-0.11878440756756758  25:0.3161797155555556  26:-0.13466114857142855  27:-0.18666861647058824  28:0.008427505454545414  29:-0.1569827077564103  30:0.07073208802631578  31:-0.008730328581081068  32:0.26672867611111095  33:-0.057073890357142845  34:-0.11980827985294118  35:-0.010627664166666658  36:-0.26580227514423077  37:-0.09253737858552626  38:-0.06226972613175678  39:0.27097083479166656  40:-0.14514212723214281  41:-0.09979523408088234  42:0.18022847835227274
